Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),"On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",What is your favorite coffee drink?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
J2kvz4,25-34 years old,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nutty,Somewhat strong,Medium,Full caffeine,4.0,2.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,1,0,1,0,0,Yes,No,$6-$8,$6-$8,Yes,$20-$50,Yes,Female,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
oAV8W5,45-54 years old,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Sweet,Somewhat light,Light,Full caffeine,9.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$60-$80,1,0,0,0,0,Yes,Yes,More than $20,More than $20,Yes,"More than $1,000",Yes,Female,Master's degree,White/Caucasian,,Employed full-time,,Democrat
oAVLGe,25-34 years old,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,5.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$80-$100,1,1,1,0,0,Yes,Yes,$6-$8,$6-$8,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
KMBKlA,18-24 years old,Less than 1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Americano,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nutty,Medium,Dark,Decaf,3.0,1.0,5.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,2.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$20-$40,1,0,0,0,0,Yes,No,$4-$6,$6-$8,Yes,$500-$1000,No,Male,Master's degree,White/Caucasian,,Employed full-time,,Democrat
6dQEDY,25-34 years old,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Latte,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Caramalized,Medium,Medium,Full caffeine,5.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,0,0,1,0,0,Yes,No,$8-$10,$10-$15,No,$50-$100,Yes,Male,Master's degree,Hispanic/Latino,,Employed full-time,,Democrat
1r2o7Q,25-34 years old,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,5.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,1,0,0,0,0,Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
1r2oVQ,25-34 years old,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bright,Medium,Light,Full caffeine,9.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,5.0,Coffee A,Coffee D,Coffee B,I primarily work from home,$40-$60,1,1,1,0,0,Yes,Yes,$15-$20,More than $20,Yes,$300-$500,Yes,Male,Master's degree,White/Caucasian,,Employed full-time,,Democrat
0EjR8y,25-34 years old,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Americano,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Medium,Medium,Full caffeine,6.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,1,1,1,0,0,Yes,Yes,$4-$6,$2-$4,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,,Employed full-time,,Democrat
LdMLzp,25-34 years old,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,Cortado,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Medium,Full caffeine,4.0,3.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0,4.0,1.0,5.0,4.0,Coffee C,Coffee D,Coffee C,I primarily work from home,>$100,1,0,1,0,0,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Female,Bachelor's degree,White/Caucasian,,Employed full-time,,
LdML7p,35-44 years old,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Cortado,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Medium,Half caff,6.0,2.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,5.0,3.0,3.0,2.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$40-$60,1,0,1,0,0,Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Male,Master's degree,White/Caucasian,,Employed full-time,,Democrat
jB9Ab4,25-34 years old,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,Latte,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Medium,Medium,Full caffeine,5.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,1,1,0,0,0,Yes,No,$4-$6,$4-$6,Yes,$500-$1000,Yes,Female,Master's degree,White/Caucasian,,Employed full-time,,Democrat
aBrq4B,25-34 years old,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nutty,Very strong,Medium,Full caffeine,7.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$20-$40,1,0,0,0,0,Yes,Yes,$8-$10,More than $20,No,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,,Employed full-time,,
DVv6Nq,25-34 years old,3,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,Espresso,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Medium,Light,Full caffeine,8.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,1,0,0,0,0,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
DVv6pR,18-24 years old,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,Iced coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,5.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee A,I primarily work from home,$20-$40,1,1,0,0,0,Yes,Yes,$10-$15,$10-$15,No,"More than $1,000",No,Male,High school graduate,White/Caucasian,,Employed full-time,,Democrat
rlrMON,25-34 years old,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,Cappuccino,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Full Bodied,Medium,Medium,Full caffeine,5.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,1,0,0,0,0,Yes,No,$8-$10,$4-$6,Yes,$50-$100,No,Male,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
g5N6Ml,25-34 years old,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Regular drip coffee,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Caramalized,Somewhat light,Light,Full caffeine,7.0,1.0,4.0,4.0,3.0,2.0,3.0,5.0,1.0,1.0,2.0,4.0,3.0,Coffee A,Coffee A,Coffee C,I do a mix of both,$20-$40,1,0,1,0,0,Yes,Yes,$8-$10,$8-$10,No,$100-$300,Yes,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
NAB1oB,35-44 years old,4,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,Espresso,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bright,Medium,Light,Full caffeine,6.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0,1.0,4.0,4.0,2.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$60-$80,1,0,0,0,0,Yes,Yes,More than $20,More than $20,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
VZ1Ojy,25-34 years old,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Other,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Very strong,Medium,Full caffeine,4.0,2.0,4.0,3.0,5.0,2.0,5.0,3.0,3.0,4.0,1.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,1,1,1,0,0,Yes,No,$8-$10,$8-$10,Yes,$20-$50,Yes,Male,Doctorate or professional degree,White/Caucasian,,Student,,Independent
dY2exq,25-34 years old,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,3.0,3.0,5.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,1.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,1,1,0,0,0,Yes,Yes,$6-$8,$8-$10,No,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
RzByo9,25-34 years old,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Blended drink (e.g. Frappuccino),1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Sweet,Somewhat strong,Medium,Full caffeine,2.0,1.0,4.0,2.0,4.0,1.0,5.0,3.0,2.0,3.0,2.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,1,0,1,0,0,Yes,Yes,$10-$15,More than $20,No,"More than $1,000",Yes,Male,Master's degree,Asian/Pacific Islander,,Student,,No affiliation
rlrMoN,25-34 years old,Less than 1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Latte,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Weak,Medium,Decaf,1.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,1.0,5.0,2.0,Coffee B,,Coffee B,,,1,1,1,1,1,,,,,,,,,,,,,,
XeBP4g,25-34 years old,Less than 1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Latte,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Somewhat light,Medium,Decaf,8.0,2.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,Coffee B,Coffee A,Coffee B,I do a mix of both,<$20,1,1,1,1,0,Yes,Yes,$10-$15,$10-$15,Yes,$300-$500,No,Female,,,,,,
DVv6qN,>65 years old,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bold,Very strong,Medium,Full caffeine,1.0,2.0,1.0,2.0,,2.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,Coffee C,Coffee D,Coffee D,,,1,1,1,1,1,,,,,,,,,,,,,,
vNx5P0,35-44 years old,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,Cortado,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Juicy,,Light,Full caffeine,6.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,1,0,1,0,0,Yes,Yes,$6-$8,$6-$8,Yes,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Democrat
6dQEZk,25-34 years old,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,Espresso,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Juicy,Somewhat strong,Nordic,Full caffeine,4.0,1.0,4.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$80-$100,1,0,0,0,1,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
qbE1d7,18-24 years old,Less than 1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Latte,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,Sweet,Weak,Medium,Decaf,1.0,1.0,5.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,1.0,Coffee A,Coffee A,Coffee A,,,1,1,1,1,1,,,,,,,,,,,,,,
bl4QeL,25-34 years old,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Espresso,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,3.0,4.0,1.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,1,0,1,0,0,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
PABJ55,25-34 years old,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Cortado,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,5.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,1,0,0,0,0,Yes,Yes,$6-$8,$6-$8,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
aBrq9b,45-54 years old,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Floral,Medium,Light,Full caffeine,5.0,2.0,2.0,3.0,5.0,4.0,1.0,3.0,3.0,4.0,5.0,5.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,1,0,0,0,0,Yes,Yes,$6-$8,,Yes,$20-$50,Yes,Male,Doctorate or professional degree,White/Caucasian,,Retired,2,Independent
LdMLPv,25-34 years old,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Cold brew,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Medium,Medium,Full caffeine,5.0,1.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,1,1,0,0,0,Yes,Yes,$8-$10,$8-$10,No,$20-$50,Yes,Female,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
qbE1VY,18-24 years old,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Other,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fruity,Medium,Light,Full caffeine,7.0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,,$20-$40,1,1,1,0,0,Yes,Yes,$6-$8,$4-$6,Yes,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,,Student,,Independent
oAVLEx,25-34 years old,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Cortado,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Half caff,6.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work in person,$20-$40,1,0,0,1,0,Yes,Yes,More than $20,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent
PABJ1V,25-34 years old,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,Mocha,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Somewhat strong,Medium,Full caffeine,4.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,Coffee C,Coffee D,Coffee C,I do a mix of both,$40-$60,1,1,0,0,0,Yes,Yes,$8-$10,$8-$10,Yes,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
0EjR6N,25-34 years old,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,Latte,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Somewhat light,Blonde,Full caffeine,1.0,3.0,3.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,2.0,Coffee B,Coffee D,Coffee B,I primarily work in person,$60-$80,1,1,1,0,0,Yes,No,$8-$10,$10-$15,No,$300-$500,Yes,Female,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Republican
BGbW75,>65 years old,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Latte,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,4.0,2.0,1.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,1,0,0,0,0,Yes,Yes,$4-$6,$4-$6,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Retired,1,No affiliation
8dp4L5,25-34 years old,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,Americano,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,4.0,1.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$40-$60,1,1,0,1,0,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",No,Male,Bachelor's degree,Other (please specify),Asian White Mix,Employed full-time,,Democrat
GrBARZ,25-34 years old,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Iced coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,7.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,Coffee A,Coffee A,Coffee C,I primarily work from home,$20-$40,1,0,1,0,0,Yes,No,$8-$10,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,,Unemployed,,No affiliation
rlrMBR,25-34 years old,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Iced coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Floral,Medium,Nordic,Full caffeine,8.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,1,0,0,1,0,Yes,Yes,$10-$15,$15-$20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat
J2kEvY,25-34 years old,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,Blended drink (e.g. Frappuccino),1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Bold,Very strong,Dark,Full caffeine,8.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,Coffee A,Coffee A,Coffee A,,,1,1,1,1,1,,,,,,,,,,,,,,
GrBAve,18-24 years old,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Americano,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nutty,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$40-$60,1,0,1,0,0,Yes,Yes,$6-$8,$4-$6,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
g5N6qO,18-24 years old,Less than 1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Iced coffee,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Sweet,Medium,Light,Full caffeine,3.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,4.0,1.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$20-$40,1,1,0,0,0,Yes,No,$6-$8,$6-$8,Yes,Less than $20,Yes,Female,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Independent
J2kvOo,35-44 years old,2,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,Latte,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,1,0,0,0,0,Yes,Yes,$10-$15,$10-$15,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent
GrBAlp,35-44 years old,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,Cappuccino,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Medium,Light,Full caffeine,7.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,Coffee B,Coffee D,Coffee A,I primarily work from home,$60-$80,1,1,1,0,0,Yes,Yes,$15-$20,$6-$8,Yes,$300-$500,Yes,Non-binary,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
